DSNY Storm # ,Date of Report ,Manhattan,Bronx,Brooklyn,Queens,Staten Island ,Total Tons 
Storm 3,01/09/2017 12:00:00 AM,4189,2760,3543,6336,1230,18058
Storm 3,01/10/2017 12:00:00 AM,1181,767,767,1715,270,4700
Storm 3,01/13/2017 12:00:00 AM,27,287,0,610,0,924
Storm 4,02/01/2017 12:00:00 AM,1619,3242,4207,5266,1824,16158
Storm 5,02/10/2017 12:00:00 AM,7091,6515,13013,13187,7231,47037
Storm 5,02/11/2017 12:00:00 AM,2393,2900,5818,5018,2450,18579
Storm 5,02/12/2017 12:00:00 AM,1141,2400,1912,2994,1883,10330
Storm 5,02/13/2017 12:00:00 AM,1056,2400,3075,3740,2432,12703
Storm 5,02/14/2017 12:00:00 AM,39,6,414,341,116,916
Storm 5,02/15/2017 12:00:00 AM,16,204,492,100,0,812
Storm 5,02/17/2017 12:00:00 AM,4,351,609,925,0,1889
Storm 6,03/11/2017 12:00:00 AM,1782,2560,4216,5061,2549,16168
Storm 6,03/13/2017 12:00:00 AM,0,4,2,82,0,88
Storm 7,03/15/2017 12:00:00 AM,6700,7458,14810,17736,6857,53561
Storm 7,03/16/2017 12:00:00 AM,2275,3947,7435,6566,2580,22803
Storm 7,03/17/2017 12:00:00 AM,1624,3003,2456,3406,2450,12939
Storm 7,03/18/2017 12:00:00 AM,1255,2145,888,2486,263,7037
Storm 7,03/19/2017 12:00:00 AM,1015,2642,1770,1978,277,7682
Storm 7,03/20/2017 12:00:00 AM,810,993,1149,1405,300,4657
Storm 7,03/21/2017 12:00:00 AM,326,582,903,392,0,2203
Storm 7,03/22/2017 12:00:00 AM,448,572,572,296,0,1888
Storm 7,03/23/2017 12:00:00 AM,205,278,357,404,300,1544
Storm 7,03/24/2017 12:00:00 AM,54,197,324,115,0,690
Storm 7,03/25/2017 12:00:00 AM,0,195,125,0,200,520
Storm 1,12/10/2017 12:00:00 AM,3704,6884,11569,12920,4913,39990
Storm 1,12/11/2018 12:00:00 AM,442,398,2924,650,1103,5517
Storm 2,12/15/2017 12:00:00 AM,2414,4558,4469,7946,3900,23287
Storm 2,12/16/2017 12:00:00 AM,3789,5939,4864,10954,3988,29534
Storm 2,12/18/2017 12:00:00 AM,0,168,32,0,78,278
Storm 3,01/02/2018 12:00:00 AM,1818,6518,7119,15888,5204,36547
Storm 4,01/05/2018 12:00:00 AM,6399,8310,14988,14616,4536,48849
Storm 4,01/06/2018 12:00:00 AM,3570,6094,6304,5604,1220,22792
Storm 4,01/07/2018 12:00:00 AM,2268,4071,5133,4391,1375,17238
Storm 4,01/08/2018 12:00:00 AM,1069,1317,3041,1984,478,7889
Storm 4,01/09/2018 12:00:00 AM,745,2625,3953,3098,1180,11601
Storm 4,01/10/2018 12:00:00 AM,249,485,272,325,180,1511
Storm 4,01/11/2018 12:00:00 AM,29,392,207,32,0,660
Storm 4,01/12/2018 12:00:00 AM,5,165,120,50,170,510
Storm 4,01/13/2018 12:00:00 AM,0,4,32,4,0,40
Storm 4,01/16/2018 12:00:00 AM,0,45,146,53,64,308
Storm 5,01/18/2018 12:00:00 AM,1864,3558,4251,8861,4042,22576
Storm 5,01/19/2018 12:00:00 AM,14,3,5,4,30,56
Storm 6,01/31/2018 12:00:00 AM,1357,2192,4170,6418,1538,15675
